feature,importance
risk_score_product,0.19793873888636457
ip_risk_score,0.19533259591345933
risk_score_max,0.19194991211440235
device_risk_score,0.19091364429869856
risk_score_avg,0.12014454955668784
amount_log,0.03521383425321376
amount,0.03163340684198458
amount_sqrt,0.02963714170789359
is_night,0.003328035856448149
hour_cos,0.0018582194069143524
hour,0.0016368295515915216
hour_sin,0.00041309161234106477
is_business_hours,2.4550932524407316e-16
country_encoded,1.0145827180810085e-17
transaction_type_encoded,1.5519129586839149e-18
merchant_category_encoded,0.0
